scenario_id,client,index,date,title,semantic_signal,topology_signal,behavioral_signal,semantic_ratio,topology_ratio,behavioral_ratio,combined_risk,trigger,source,url
microstrategy_drift,MicroStrategy Incorporated,5,2022-03-29,MacroStrategy closes $205M Bitcoin-collateralized Silvergate loan to acquire additional Bitcoin,0.4094,0.0,0.0,0.5953853868465417,0.0,0.0,0.5954,True,SEC 8-K / Strategy press release,https://www.sec.gov/Archives/edgar/data/1050446/000119312522087494/d312252d8k.htm
openai_regulatory_drift,OpenAI,1,2023-03-31,Italian privacy regulator orders temporary ban on OpenAI ChatGPT over unlawful data collection,0.5076,0.0,0.0,0.5542190648417584,0.0,0.0,0.5542,True,Reuters,https://www.reuters.com/technology/italy-data-protection-agency-opens-chatgpt-probe-privacy-concerns-2023-03-31/
surgutneftegas_sanctions_escalation,Surgutneftegas,1,2014-09-12,US sectoral restrictions target Russian oil companies including Surgutneftegas,0.3004,0.0,0.0,0.02728056351808258,0.0,0.0,0.0273,False,OpenSanctions / sanctions summaries,https://www.opensanctions.org/entities/NK-gyXAZAjfijNDV3fHyi8HTR/adjacent/sanctions/
surgutneftegas_sanctions_escalation,Surgutneftegas,2,2014-09-17,BIS Entity List restrictions apply to Surgutneftegas-linked Russian energy technology exposure,0.3366,0.0,0.0,0.07380675802320766,0.0,0.0,0.0738,False,OpenSanctions,https://www.opensanctions.org/entities/NK-gyXAZAjfijNDV3fHyi8HTR/adjacent/sanctions/
surgutneftegas_sanctions_escalation,Surgutneftegas,3,2022-12-05,G7/EU oil price cap increases Surgutneftegas sanctions exposure for Russian oil exports,0.2793,0.0,0.0,0.00942971186036579,0.0,0.0,0.0094,False,International sanctions summary,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russo-Ukrainian_war
surgutneftegas_sanctions_escalation,Surgutneftegas,4,2023-02-05,EU refined oil products ban adds revenue pressure on Surgutneftegas and Russian energy sector,0.319,0.0,0.0,0.0,0.0,0.0,0.0,False,International sanctions summary,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russo-Ukrainian_war
surgutneftegas_sanctions_escalation,Surgutneftegas,5,2025-01-10,US and UK designate Surgutneftegas and Gazprom Neft as major Russian oil sanctions targets,0.2993,0.05,0.0,0.0,0.42738691267223566,0.0,0.4274,False,GOV.UK / Baker McKenzie sanctions update,https://www.gov.uk/government/news/support-for-ukraine-is-unwavering-as-uk-announces-new-sanctions-on-russian-oil-giants
surgutneftegas_sanctions_escalation,Surgutneftegas,6,2025-01-10,UK sanctions notice lists PJSC Surgutneftegas with asset-freeze and trust-services restrictions,0.5117,0.05,1.9506,0.2348862203278933,0.7985930020818861,0.0,0.8459,True,UK sanctions notice PDF,https://assets.publishing.service.gov.uk/media/678123d261e7988536018435/Notice_Russia_100125.pdf
vtb_sanctions_escalation,VTB Bank,1,2014-07-31,EU introduces targeted restrictive measures on Russian capital markets and sensitive sectors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Court of Justice / Council Decision 2014/512 context,http://www.fast.bailii.org/eu/cases/EUECJ/2020/C72918P.html
vtb_sanctions_escalation,VTB Bank,2,2014-09-12,VTB appears under EU sectoral restrictive measures linked to Russia's actions in Ukraine,0.3615,0.0,0.0,0.1443245905585682,0.0,0.0,0.1443,False,Sanctions Finder,https://sanctions-finder.com/sanction/5a3798bc-7ec9-43aa-887f-0da7771277b1/VTB%20BANK
vtb_sanctions_escalation,VTB Bank,3,2022-02-21,US issues new Russia-related blocking measures as Ukraine crisis escalates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,OFAC Ukraine/Russia sanctions program,https://ofac.treasury.gov/sanctions-programs-and-country-information/ukraine-russia-related-sanctions
vtb_sanctions_escalation,VTB Bank,4,2022-02-24,"US announces full blocking sanctions on VTB, Russia's second largest financial institution",0.3474,0.0,0.0,0.21708876792903695,0.0,0.0,0.2171,False,White House fact sheet,https://www.presidency.ucsb.edu/documents/fact-sheet-joined-allies-and-partners-the-united-states-imposes-devastating-costs-russia
vtb_sanctions_escalation,VTB Bank,5,2022-03-02,EU orders VTB and six other Russian banks disconnected from SWIFT,0.3754,0.0,0.0,0.3050423429119496,0.0,0.0,0.305,False,Davis Polk sanctions update,https://www.davispolk.com/insights/client-update/russia-sanctions-update-march-4-2022
vtb_sanctions_escalation,VTB Bank,6,2022-03-12,SWIFT disconnection becomes operational for selected Russian banks including VTB,0.3553,0.0,0.0,0.3269003002063319,0.0,0.0,0.3269,False,Global News / EU SWIFT coverage,https://globalnews.ca/news/8655321/russia-ukraine-war-eu-swift-ban/
wirecard_drift,Wirecard AG,1,2015-04-27,Financial Times begins questioning inconsistencies in Wirecard's accounts,0.3955,0.0,0.0,0.23723186111643146,0.0,0.0,0.2372,False,Financial Times timeline,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
wirecard_drift,Wirecard AG,2,2019-01-30,FT reports suspicious transactions and alleged forged/backdated contracts in Wirecard's Singapore operations,0.3254,0.0,0.0,0.28651065457738994,0.0,0.0,0.2865,False,Reuters Wirecard timeline,https://www.reuters.com/business/finance/rise-fall-wirecard-2022-12-06/
wirecard_drift,Wirecard AG,3,2019-10-21,Wirecard hires KPMG to conduct an independent special audit under investor pressure,0.3723,0.0,0.0,0.39241520983916034,0.0,0.0,0.3924,False,Reuters Wirecard timeline,https://www.reuters.com/business/finance/rise-fall-wirecard-2022-12-06/
wirecard_drift,Wirecard AG,4,2020-04-28,KPMG special audit cannot verify key Wirecard profit arrangements and cash balances,0.536,0.0,0.0,0.7723921809921296,0.0,0.0,0.7724,True,Reuters / FT timeline,https://www.reuters.com/article/technology/the-moneys-gone-wirecard-collapses-owing-4-billion-idUSKBN23W176/
